Creation_Date;Index_Symbol;Index_Name;Index ISIN;Internal_Key;ISIN;RIC;Instrument_Name;Country;Currency;Exchange;Index Membership;Rank (FINAL);Rank (PREVIOUS);Comment;Rank 2 (FINAL);Rank 2 (PREVIOUS)
20260601;SXXP;STOXX Europe 600;EU0009658202;GB4094;;GENG.L;GENUIT GRP PLC;GB;GBP;London SE;;992;989;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;SE15R3;;DYVOX.ST;DYNAVOX;SE;SEK;NASDAQ Stockholm;;993;982;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;PL50ET;;DIAP.WA;DIAGNOSTYKA;PL;PLN;Warsaw SE;;994;1040;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;FR904J;;ROBF.PA;ROBERTET;FR;EUR;Euronext Paris;;995;978;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;B16MKT;;AUSS.OL;AUSTEVOLL SEAFOOD;NO;NOK;Oslo Bors;;996;973;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;DE9088;;KWSG.DE;KWS SAAT;DE;EUR;XETRA;;997;964;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;060272;;MGAMM.L;MORGAN ADVANCED MATERIALS;GB;GBP;London SE;;998;1008;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;598475;;DNORD.CO;DMPKBT.NORDEN;DK;DKK;NASDAQ Copenhagen;;999;970;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;SE408I;;INWI.ST;INWIDO;SE;SEK;NASDAQ Stockholm;;1000;1006;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;DE602Z;;RDC.DE;REDCARE PHARMACY;DE;EUR;XETRA;;1001;946;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;B1Y47Y;;GXIG.DE;GERRESHEIMER;DE;EUR;XETRA;;1002;976;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;PT102L;;NVGR.LS;NAVIGATOR;PT;EUR;Euronext Lisbon;;1003;1002;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;B17WCM;;SMWH.L;NEW WH SMITH;GB;GBP;London SE;;1004;987;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;SE20HP;;SLPb.ST;SWEDISH LOGISTIC PROPERTY B;SE;SEK;NASDAQ Stockholm;;1005;1037;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;DE10H9;;EUZG.DE;ECKERT & ZIEGLER;DE;EUR;XETRA;;1006;1018;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;DE50FB;;HLAG.DE;HAPAG-LLOYD AG;DE;EUR;XETRA;;1007;1004;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;CH12ZV;;SKAN.S;SKAN N (BRN);CH;CHF;Six Swiss Exchange;;1008;1043;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;CH4041;;HIAG.S;HIAG IMMOBILIEN;CH;CHF;Six Swiss Exchange;;1009;;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;DE107Z;;DWNG.DE;DEUTSCHE WOHNEN BR.SHS.;DE;EUR;XETRA;;1010;885;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;326127;;MAB.L;MITCHELLS & BUTLERS;GB;GBP;London SE;;1011;979;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;B00FX5;;BSLN.S;BASILEA PHARMACEUTICA 'R';CH;CHF;Six Swiss Exchange;;1012;994;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;336292;;IPO.L;IP GRP;GB;GBP;London SE;;1013;1047;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;GB7031;;XPS.L;XPS PENSIONS GROUP;GB;GBP;London SE;;1014;1013;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;SE509K;;ALIG.ST;ALIMAK GROUP;SE;SEK;NASDAQ Stockholm;;1015;1012;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;CH50B9;;SMGC.S;SMG;CH;CHF;Six Swiss Exchange;;1016;1016;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;CH10IC;;KURN.S;KUROS BIOSCIENCES;CH;CHF;Six Swiss Exchange;;1017;1023;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;488116;;TFFP.PA;TF1;FR;EUR;Euronext Paris;;1018;1011;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;IT704M;;IF.MI;BANCA IFIS;IT;EUR;Borsa Italiana;;1019;961;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;GB1ERX;;OXB.L;OXFORD BIOMEDICA;GB;GBP;London SE;;1020;1024;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;IT005G;;SES.MI;SESA;IT;EUR;Borsa Italiana;;1021;1055;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;DE8043;;INHG.DE;INDUS HOLDING;DE;EUR;XETRA;;1022;1015;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;521107;;RATOb.ST;RATOS B;SE;SEK;NASDAQ Stockholm;;1023;1042;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;509233;;VOSG.DE;VOSSLOH;DE;EUR;XETRA;;1024;993;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;B287X7;;SYSR.ST;SYSTEMAIR;SE;SEK;NASDAQ Stockholm;;1025;;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;SE606I;;VITR.ST;VITROLIFE;SE;SEK;NASDAQ Stockholm;;1026;1003;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;415550;;JM.ST;JM;SE;SEK;NASDAQ Stockholm;;1027;1033;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;B126KF;;ICAD.PA;ICADE;FR;EUR;Euronext Paris;;1028;1026;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;NO00GR;;LINK.OL;LINK MOBILITY GROUP HOLDINGS A;NO;NOK;Oslo Bors;;1029;1062;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;GB10ME;;CRE.L;CONDUIT HOLDINGS;GB;GBP;London SE;;1030;997;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;NO007I;;PEXIP.OL;PEXIP HOLDING ASA;NO;NOK;Oslo Bors;;1031;1084;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;CH131Y;;MOZN.S;MOBILEZONE HOLDING;CH;CHF;Six Swiss Exchange;;1032;1030;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;GB1822;;JSG.L;JOHNSON SERVICE GROUP;GB;GBP;London SE;;1033;1074;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;456364;;MMKV.VI;MAYR MELNHOF KARTON;AT;EUR;Wiener Boerse AG;;1034;1014;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;DE13PK;;AOFG.DE;ATOSS SOFTWARE;DE;EUR;XETRA;;1035;1010;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;ES11BJ;;ANE.MC;CORPO. ACCIONA ENERG. RENOV.;ES;EUR;BME Exchange;;1036;1031;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;GB40OJ;;SPI.L;SPIRE HEALTHCARE GP.;GB;GBP;London SE;;1037;1106;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;SE806K;;DIOS.ST;DIOS FASTIGHETER;SE;SEK;NASDAQ Stockholm;;1038;1053;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;CH12PL;;ZEHN.S;ZEHNDER GROUP;CH;CHF;Six Swiss Exchange;;1039;1020;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;FI7059;;TTALO.HE;TERVEYSTALO OY;FI;EUR;NASDAQ Helsinki;;1040;1048;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;IT13ZE;;LUVE.MI;LUVE;IT;EUR;Borsa Italiana;;1041;1092;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;SE90AP;;XVIVO.ST;XVIVO PERFUSION;SE;SEK;NASDAQ Stockholm;;1042;1039;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;143451;;COFB.BR;COFINIMMO;BE;EUR;Euronext Brussels;;1043;1027;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;IT904O;;CEMI.MI;CEMENTIR HOLDING;IT;EUR;Borsa Italiana;;1044;1017;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;DK6025;;DFDS.CO;DFDS;DK;DKK;NASDAQ Copenhagen;;1045;1085;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;DE13UP;;HBH.DE;HORNBACH HDG.PF.SHS.;DE;EUR;XETRA;;1046;1032;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;FR603F;;IVAA.PA;INVENTIVA;FR;EUR;Euronext Paris;;1047;1000;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;B1YKG0;;IPF.L;INTERNATIONAL PSNL.FIN.;GB;GBP;London SE;;1048;1034;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;GB00B2;;N91.L;NINETY ONE;GB;GBP;London SE;;1049;1045;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;GB1541;;GBGP.L;GB GROUP;GB;GBP;London SE;;1050;1065;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;SE808M;;ACADE.ST;ACADEMEDIA;SE;SEK;NASDAQ Stockholm;;1051;1058;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;IT10DP;;SFER.MI;SALVATORE FERRAGAMO;IT;EUR;Borsa Italiana;;1052;1104;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;FR40BL;;CLARI.PA;CLARIANE;FR;EUR;Euronext Paris;;1053;1050;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;GB6074;;MTRO.L;METRO BANK HOLDINGS;GB;GBP;London SE;;1054;;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;DE35BA;;1SXP.DE;SCHOTT PHARMA;DE;EUR;XETRA;;1055;1096;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;500146;;SNI.OL;STOLT-NIELSEN;NO;NOK;Oslo Bors;;1056;1038;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;SE803H;;RAYb.ST;RAYSEARCH LABORATORIES B;SE;SEK;NASDAQ Stockholm;;1057;1088;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;GB40C7;;SAGA.L;SAGA;GB;GBP;London SE;;1058;;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;DE8032;;COKG.DE;CANCOM;DE;EUR;XETRA;;1059;1057;;;
